FID,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1564,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,50.7,ug.m-3,mensuelle,2018/11/01 00:00,2018/11/30 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1563,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,40.3,ug.m-3,mensuelle,2018/12/01 00:00,2018/12/31 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1562,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,53.3,ug.m-3,mensuelle,2019/01/01 00:00,2019/01/31 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1561,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,59.8,ug.m-3,mensuelle,2019/02/01 00:00,2019/02/28 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1560,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,81.4,ug.m-3,mensuelle,2019/03/01 00:00,2019/03/31 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-155f,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,92,ug.m-3,mensuelle,2019/04/01 00:00,2019/04/30 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-155e,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,89.5,ug.m-3,mensuelle,2019/05/01 00:00,2019/05/31 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-155d,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,95.2,ug.m-3,mensuelle,2019/06/01 00:00,2019/06/30 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-155c,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,98.8,ug.m-3,mensuelle,2019/07/01 00:00,2019/07/31 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-155b,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,96.5,ug.m-3,mensuelle,2019/08/01 00:00,2019/08/31 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-155a,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,80.1,ug.m-3,mensuelle,2019/09/01 00:00,2019/09/30 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1559,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,64.6,ug.m-3,mensuelle,2019/10/01 00:00,2019/10/31 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1558,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,50.9,ug.m-3,mensuelle,2019/11/01 00:00,2019/11/30 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1557,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,51.9,ug.m-3,mensuelle,2019/12/01 00:00,2019/12/31 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1556,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,49.7,ug.m-3,mensuelle,2020/01/01 00:00,2020/01/31 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1555,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,63,ug.m-3,mensuelle,2020/02/01 00:00,2020/02/29 23:59,true,865498.27972037,6259645.8744532
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1554,BOUCHES-DU-RHONE,Martigues,13056,Martigues P. Central,FR02004,Urbaine,fond,Ozone,7,75.6,ug.m-3,mensuelle,2020/03/01 00:00,2020/03/31 23:59,true,865498.27972037,6259645.8744532
